{'nome': 'Jack Stall Beck', 'classe': 'ED', 'level': 831, 'exp': 9504415805}
{'nome': 'Betomd', 'classe': 'EK', 'level': 641, 'exp': 4351169378}
{'nome': 'Sattanzinha', 'classe': 'RP', 'level': 639, 'exp': 4308083842}
{'nome': 'Start Rullex', 'classe': 'MS', 'level': 637, 'exp': 4282187411}
{'nome': 'Processing Pixels', 'classe': 'EK', 'level': 636, 'exp': 4261086594}
{'nome': 'Muckyzyk', 'classe': 'ED', 'level': 636, 'exp': 4260964054}
{'nome': 'Chakal', 'classe': 'ED', 'level': 636, 'exp': 4249847890}
{'nome': 'Renan Kina', 'classe': 'EK', 'level': 635, 'exp': 4242943160}
{'nome': 'Spawnc', 'classe': 'RP', 'level': 634, 'exp': 4226923217}
{'nome': 'Picco Venga', 'classe': 'RP', 'level': 634, 'exp': 4226514497}
{'nome': 'Kha zix', 'classe': 'EK', 'level': 634, 'exp': 4224257095}
{'nome': 'Spawnx', 'classe': 'EK', 'level': 634, 'exp': 4223427584}
{'nome': 'Ryan', 'classe': 'RP', 'level': 633, 'exp': 4207307549}
{'nome': 'Henrique Sa', 'classe': 'EK', 'level': 633, 'exp': 4205309565}
{'nome': 'Rofux Ballack', 'classe': 'RP', 'level': 633, 'exp': 4191933288}
{'nome': 'Not Remember', 'classe': 'RP', 'level': 633, 'exp': 4190324019}
{'nome': 'Meucu Pooh', 'classe': 'MS', 'level': 631, 'exp': 4163481367}
{'nome': 'Paladin Ingeniero', 'classe': 'RP', 'level': 631, 'exp': 4158622746}
{'nome': 'Cabritera', 'classe': 'MS', 'level': 631, 'exp': 4158070078}
{'nome': 'Play hardy', 'classe': 'RP', 'level': 631, 'exp': 4157157113}
{'nome': 'Suavecito', 'classe': 'ED', 'level': 631, 'exp': 4156092465}
{'nome': 'Maverik Out', 'classe': 'RP', 'level': 631, 'exp': 4149124340}
{'nome': 'Osama Bim Laden', 'classe': 'ED', 'level': 630, 'exp': 4145815767}
{'nome': 'Theuziin', 'classe': 'RP', 'level': 630, 'exp': 4136143784}
{'nome': 'Lothbrook', 'classe': 'EK', 'level': 630, 'exp': 4130890930}
{'nome': 'Flamepally', 'classe': 'RP', 'level': 629, 'exp': 4123459238}
{'nome': 'Theu Zin', 'classe': 'EK', 'level': 629, 'exp': 4110851804}
{'nome': 'Miau Miau', 'classe': 'ED', 'level': 629, 'exp': 4109157741}
{'nome': 'Monotox', 'classe': 'RP', 'level': 629, 'exp': 4108686790}
{'nome': 'Diiguiinn', 'classe': 'RP', 'level': 628, 'exp': 4107284611}
{'nome': 'Xbelly Dancer', 'classe': 'RP', 'level': 628, 'exp': 4090758547}
{'nome': 'Prin Of Pelego', 'classe': 'RP', 'level': 627, 'exp': 4088555412}
{'nome': 'Szybkosc', 'classe': 'RP', 'level': 627, 'exp': 4085491965}
{'nome': 'Mikey Mouse', 'classe': 'RP', 'level': 627, 'exp': 4082027510}
{'nome': 'Kanabis', 'classe': 'MS', 'level': 627, 'exp': 4081771192}
{'nome': 'Lipezn Defender', 'classe': 'EK', 'level': 627, 'exp': 4079215764}
{'nome': 'Master Cokess', 'classe': 'EK', 'level': 627, 'exp': 4074411800}
{'nome': 'Malvo', 'classe': 'ED', 'level': 627, 'exp': 4071398765}
{'nome': 'Tripa Playboy', 'classe': 'RP', 'level': 627, 'exp': 4070655565}
{'nome': 'Embregads Lavamon', 'classe': 'RP', 'level': 626, 'exp': 4066757434}
{'nome': 'Fluffen', 'classe': 'RP', 'level': 626, 'exp': 4064272464}
{'nome': 'Rosa Noo', 'classe': 'RP', 'level': 626, 'exp': 4061819887}
{'nome': 'Zero Treze', 'classe': 'ED', 'level': 626, 'exp': 4061779953}
{'nome': 'Malvadinho Pop', 'classe': 'MS', 'level': 626, 'exp': 4061071825}
{'nome': 'Maluco Do Opala', 'classe': 'ED', 'level': 626, 'exp': 4052878515}
{'nome': 'Lord Celesthyal', 'classe': 'ED', 'level': 625, 'exp': 4046182357}
{'nome': 'Mysni', 'classe': 'ED', 'level': 625, 'exp': 4033560426}
{'nome': 'Ghost Rider', 'classe': 'RP', 'level': 624, 'exp': 4020658682}
{'nome': 'Nighty', 'classe': 'ED', 'level': 622, 'exp': 3990049089}
{'nome': 'Pally Fast Hands', 'classe': 'RP', 'level': 622, 'exp': 3982536345}
{'nome': 'Johnie Brutin', 'classe': 'EK', 'level': 622, 'exp': 3982437389}
{'nome': 'Zeca Bolada', 'classe': 'ED', 'level': 622, 'exp': 3980432043}
{'nome': 'Ron Carter', 'classe': 'ED', 'level': 622, 'exp': 3978532186}
{'nome': 'Kyng Costle', 'classe': 'RP', 'level': 622, 'exp': 3977810166}
{'nome': 'King Azstekka', 'classe': 'ED', 'level': 622, 'exp': 3977213133}
{'nome': 'Stripida', 'classe': 'ED', 'level': 622, 'exp': 3975978947}
{'nome': 'Renan Brauna Sp', 'classe': 'EK', 'level': 622, 'exp': 3973408015}
{'nome': 'Naman Loth', 'classe': 'EK', 'level': 622, 'exp': 3972663322}
{'nome': 'Meu Pau Te Ama', 'classe': 'ED', 'level': 622, 'exp': 3972189188}
{'nome': 'Worms', 'classe': 'EK', 'level': 621, 'exp': 3965153279}
{'nome': 'Fox Furry', 'classe': 'RP', 'level': 621, 'exp': 3962859047}
{'nome': 'Allan Baby Shark', 'classe': 'EK', 'level': 621, 'exp': 3960433049}
{'nome': 'Dulokz', 'classe': 'EK', 'level': 621, 'exp': 3959303471}
{'nome': 'Sirux', 'classe': 'EK', 'level': 621, 'exp': 3956680476}
{'nome': 'Ragnaldo Notebook', 'classe': 'EK', 'level': 621, 'exp': 3956346544}
{'nome': 'Sindicato', 'classe': 'RP', 'level': 621, 'exp': 3956319933}
{'nome': 'Kokain Agaeszi', 'classe': 'ED', 'level': 621, 'exp': 3954260061}
{'nome': 'Elderzinho', 'classe': 'ED', 'level': 621, 'exp': 3953142455}
{'nome': 'Paz Irmao', 'classe': 'RP', 'level': 620, 'exp': 3951267648}
{'nome': 'Duaith', 'classe': 'EK', 'level': 620, 'exp': 3950421035}
{'nome': 'Fiorella', 'classe': 'ED', 'level': 620, 'exp': 3949596119}
{'nome': 'Oitao Janelado', 'classe': 'ED', 'level': 620, 'exp': 3941283826}
{'nome': 'Thierre Ramos', 'classe': 'MS', 'level': 620, 'exp': 3939559779}
{'nome': 'Jd Pery', 'classe': 'ED', 'level': 620, 'exp': 3935315825}
{'nome': 'Justiceira', 'classe': 'RP', 'level': 619, 'exp': 3932654306}
{'nome': 'Zephir', 'classe': 'ED', 'level': 619, 'exp': 3916890500}
{'nome': 'Sczar', 'classe': 'RP', 'level': 619, 'exp': 3915392933}
{'nome': 'Woody Woodpecker', 'classe': 'RP', 'level': 618, 'exp': 3914442216}
{'nome': 'Redtube Ta On', 'classe': 'RP', 'level': 618, 'exp': 3912086227}
{'nome': 'Sann', 'classe': 'ED', 'level': 618, 'exp': 3909911534}
{'nome': 'Crazy Judge', 'classe': 'RP', 'level': 618, 'exp': 3901527232}
{'nome': 'Danzin', 'classe': 'ED', 'level': 618, 'exp': 3900704782}
{'nome': 'Amoebinha', 'classe': 'ED', 'level': 618, 'exp': 3898492659}
{'nome': 'Linfocito T', 'classe': 'RP', 'level': 617, 'exp': 3895540541}
{'nome': 'Kina Da Contencao', 'classe': 'EK', 'level': 617, 'exp': 3893429971}
{'nome': 'Spawnn', 'classe': 'MS', 'level': 617, 'exp': 3892451970}
{'nome': 'Tche Pally', 'classe': 'RP', 'level': 617, 'exp': 3891475048}
{'nome': 'Vou Pegar Red', 'classe': 'ED', 'level': 617, 'exp': 3890857760}
{'nome': 'Sickboy', 'classe': 'ED', 'level': 617, 'exp': 3890526814}
{'nome': 'Kobe', 'classe': 'RP', 'level': 617, 'exp': 3888929786}
{'nome': 'Izmoks', 'classe': 'ED', 'level': 617, 'exp': 3887866877}
{'nome': 'Lord Assasin', 'classe': 'ED', 'level': 617, 'exp': 3877547087}
{'nome': 'Dbonex', 'classe': 'RP', 'level': 617, 'exp': 3876914482}
{'nome': 'Xxpaladinoxx', 'classe': 'RP', 'level': 616, 'exp': 3876328786}
{'nome': 'Mininin', 'classe': 'EK', 'level': 616, 'exp': 3875543513}
{'nome': 'Lowkz Back', 'classe': 'ED', 'level': 616, 'exp': 3874681280}
{'nome': 'Royal Peladim', 'classe': 'RP', 'level': 616, 'exp': 3874182700}
{'nome': 'Elite Kingnightt', 'classe': 'EK', 'level': 616, 'exp': 3872692149}
{'nome': 'Open Tchetcheca', 'classe': 'MS', 'level': 616, 'exp': 3871958487}
{'nome': 'Bijorge Notebook', 'classe': 'RP', 'level': 616, 'exp': 3867641728}
{'nome': 'Kita', 'classe': 'MS', 'level': 616, 'exp': 3867590335}
{'nome': 'Digits', 'classe': 'RP', 'level': 616, 'exp': 3867512849}
{'nome': 'Lipezn Here', 'classe': 'ED', 'level': 616, 'exp': 3865323941}
{'nome': 'Avila', 'classe': 'ED', 'level': 616, 'exp': 3863770045}
{'nome': 'Zikadin', 'classe': 'EK', 'level': 616, 'exp': 3858569179}
{'nome': 'Allianz', 'classe': 'ED', 'level': 615, 'exp': 3847597231}
{'nome': 'Paloma Mailinha', 'classe': 'ED', 'level': 615, 'exp': 3846219203}
{'nome': 'Juninsz Oldlankz', 'classe': 'ED', 'level': 615, 'exp': 3845946047}
{'nome': 'Dpsy', 'classe': 'ED', 'level': 615, 'exp': 3843326166}
{'nome': 'Lord Aarao', 'classe': 'RP', 'level': 615, 'exp': 3843150942}
{'nome': 'The Rules', 'classe': 'RP', 'level': 615, 'exp': 3842238536}
{'nome': 'Pro Noaki', 'classe': 'ED', 'level': 615, 'exp': 3841375410}
{'nome': 'Subto', 'classe': 'RP', 'level': 615, 'exp': 3840445592}
{'nome': 'Skol Sensation', 'classe': 'MS', 'level': 615, 'exp': 3839289170}
{'nome': 'El Gordo Loco', 'classe': 'RP', 'level': 614, 'exp': 3838797229}
{'nome': 'Ivar Odesossado', 'classe': 'RP', 'level': 614, 'exp': 3838389060}
{'nome': 'Lord Zin', 'classe': 'RP', 'level': 614, 'exp': 3837915990}
{'nome': 'Ravok', 'classe': 'MS', 'level': 614, 'exp': 3836339739}
{'nome': 'Suvaco Cabeludo', 'classe': 'RP', 'level': 614, 'exp': 3834993393}
{'nome': 'Supreme Cokess', 'classe': 'MS', 'level': 614, 'exp': 3834392385}
{'nome': 'Buda Royal', 'classe': 'RP', 'level': 614, 'exp': 3832746613}
{'nome': 'Lord Rodox', 'classe': 'ED', 'level': 614, 'exp': 3829260272}
{'nome': 'Truncks', 'classe': 'ED', 'level': 614, 'exp': 3827350833}
{'nome': 'Jebem Ti Mater', 'classe': 'RP', 'level': 614, 'exp': 3825225405}
{'nome': 'Nenhor', 'classe': 'RP', 'level': 614, 'exp': 3823812258}
{'nome': 'Druiid Rush', 'classe': 'ED', 'level': 614, 'exp': 3822561638}
{'nome': 'Hoover', 'classe': 'ED', 'level': 614, 'exp': 3822547263}
{'nome': 'Tekao', 'classe': 'ED', 'level': 614, 'exp': 3822025550}
{'nome': 'Monster Machine', 'classe': 'EK', 'level': 613, 'exp': 3820264755}
{'nome': 'Radzki', 'classe': 'ED', 'level': 613, 'exp': 3818141438}
{'nome': 'Snowy', 'classe': 'RP', 'level': 613, 'exp': 3815690999}
{'nome': 'Eduardo Teixeira', 'classe': 'ED', 'level': 613, 'exp': 3813129040}
{'nome': 'Vitin Dashwar', 'classe': 'MS', 'level': 613, 'exp': 3812331432}
{'nome': 'Boom Tam Tam', 'classe': 'ED', 'level': 613, 'exp': 3811621706}
{'nome': 'Paladino do mal', 'classe': 'RP', 'level': 613, 'exp': 3811591711}
{'nome': 'Nikka Fullon', 'classe': 'ED', 'level': 613, 'exp': 3811590028}
{'nome': 'Eduh Zika', 'classe': 'ED', 'level': 613, 'exp': 3809149786}
{'nome': 'El Mage Loco', 'classe': 'ED', 'level': 613, 'exp': 3808403864}
{'nome': 'Minha Diva Satrico', 'classe': 'RP', 'level': 613, 'exp': 3804672680}
{'nome': 'Windy Kill Bot', 'classe': 'RP', 'level': 613, 'exp': 3804502491}
{'nome': 'Capitao Do Guetto', 'classe': 'RP', 'level': 613, 'exp': 3804325083}
{'nome': 'Hi Push Me', 'classe': 'ED', 'level': 613, 'exp': 3802162965}
{'nome': 'Sukraiter', 'classe': 'RP', 'level': 612, 'exp': 3791647639}
{'nome': 'Soumaispally', 'classe': 'RP', 'level': 612, 'exp': 3788918756}
{'nome': 'Castiel Suicida', 'classe': 'ED', 'level': 612, 'exp': 3784810198}
{'nome': 'Seu Madruga Owned', 'classe': 'RP', 'level': 611, 'exp': 3781095487}
{'nome': 'Royal Spy', 'classe': 'RP', 'level': 611, 'exp': 3779417915}
{'nome': 'Pqdt Milico', 'classe': 'RP', 'level': 611, 'exp': 3777676778}
{'nome': 'Eve Rullex', 'classe': 'RP', 'level': 611, 'exp': 3777525552}
{'nome': 'Walvogznever', 'classe': 'RP', 'level': 611, 'exp': 3776278091}
{'nome': 'Hang Loose', 'classe': 'ED', 'level': 611, 'exp': 3774745758}
{'nome': 'Guizerah Dashow', 'classe': 'ED', 'level': 611, 'exp': 3773560994}
{'nome': 'Enzi Khaos', 'classe': 'ED', 'level': 611, 'exp': 3771129086}
{'nome': 'Bob Motel', 'classe': 'EK', 'level': 611, 'exp': 3768346341}
{'nome': 'Qqmuda Best Hit', 'classe': 'RP', 'level': 611, 'exp': 3766609004}
{'nome': 'Yuya Kamoto', 'classe': 'RP', 'level': 611, 'exp': 3766580912}
{'nome': 'Dogir Knix Kelvin', 'classe': 'ED', 'level': 611, 'exp': 3766351688}
{'nome': 'Biel Returns', 'classe': 'RP', 'level': 611, 'exp': 3765835409}
{'nome': 'Kakaroth', 'classe': 'RP', 'level': 610, 'exp': 3764032594}
{'nome': 'Minao Tacawall', 'classe': 'EK', 'level': 610, 'exp': 3763651616}
{'nome': 'Eternal Six', 'classe': 'RP', 'level': 610, 'exp': 3763291176}
{'nome': 'Pleups', 'classe': 'EK', 'level': 610, 'exp': 3762949225}
{'nome': 'Curiepeiro', 'classe': 'ED', 'level': 610, 'exp': 3761910647}
{'nome': 'Hagoromo Otsutsuki', 'classe': 'RP', 'level': 610, 'exp': 3760521250}
{'nome': 'Deathnote', 'classe': 'MS', 'level': 610, 'exp': 3760073976}
{'nome': 'Lipeh', 'classe': 'ED', 'level': 610, 'exp': 3759062369}
{'nome': 'Goiaba Rush', 'classe': 'MS', 'level': 610, 'exp': 3757749603}
{'nome': 'Bellotax', 'classe': 'ED', 'level': 610, 'exp': 3757236651}
{'nome': 'Meu Toba Cu', 'classe': 'ED', 'level': 610, 'exp': 3755926178}
{'nome': 'Quero Red', 'classe': 'ED', 'level': 610, 'exp': 3754851992}
{'nome': 'Sgn Impossible', 'classe': 'ED', 'level': 610, 'exp': 3753754954}
{'nome': 'Holy Brothers', 'classe': 'ED', 'level': 610, 'exp': 3752124569}
{'nome': 'Merere', 'classe': 'RP', 'level': 610, 'exp': 3749512705}
{'nome': 'Neto', 'classe': 'ED', 'level': 610, 'exp': 3747390914}
{'nome': 'Estrelar Estrela', 'classe': 'ED', 'level': 610, 'exp': 3747226117}
{'nome': 'Amoebinho', 'classe': 'ED', 'level': 610, 'exp': 3746368939}
{'nome': 'Chuck Bass', 'classe': 'RP', 'level': 610, 'exp': 3745982329}
{'nome': 'Ciro Cavebot Baiak', 'classe': 'MS', 'level': 609, 'exp': 3745582110}
{'nome': 'Leezin', 'classe': 'RP', 'level': 609, 'exp': 3745470778}
{'nome': 'Pala Brejcha', 'classe': 'RP', 'level': 609, 'exp': 3743009212}
{'nome': 'Fuck House', 'classe': 'ED', 'level': 609, 'exp': 3742939592}
{'nome': 'Hypotenusa', 'classe': 'RP', 'level': 609, 'exp': 3742621818}
{'nome': 'Easy', 'classe': 'EK', 'level': 609, 'exp': 3741870236}
{'nome': 'Taka flecha', 'classe': 'RP', 'level': 609, 'exp': 3739447529}
{'nome': 'Gufox', 'classe': 'RP', 'level': 609, 'exp': 3739321122}
{'nome': 'Pleasexd', 'classe': 'ED', 'level': 609, 'exp': 3739283042}
{'nome': 'Paladin Bdm', 'classe': 'RP', 'level': 609, 'exp': 3737987547}
{'nome': 'Premier', 'classe': 'ED', 'level': 609, 'exp': 3736935660}
{'nome': 'Mordekai', 'classe': 'MS', 'level': 609, 'exp': 3736482402}
{'nome': 'Faelim', 'classe': 'RP', 'level': 609, 'exp': 3736377144}
{'nome': 'Royal Tononzin', 'classe': 'RP', 'level': 609, 'exp': 3730072586}
{'nome': 'Parkway Drive', 'classe': 'ED', 'level': 609, 'exp': 3728623970}
{'nome': 'Jensen Ackles', 'classe': 'RP', 'level': 609, 'exp': 3727529864}
{'nome': 'Dom Havoc', 'classe': 'MS', 'level': 608, 'exp': 3726852436}
{'nome': 'Deputadotemer', 'classe': 'ED', 'level': 608, 'exp': 3725909088}
{'nome': 'Awaken', 'classe': 'RP', 'level': 608, 'exp': 3725636074}
{'nome': 'The Federal', 'classe': 'EK', 'level': 608, 'exp': 3725356536}
{'nome': 'Windy Kill Bots', 'classe': 'RP', 'level': 608, 'exp': 3725170094}
{'nome': 'Gaia Saint', 'classe': 'RP', 'level': 608, 'exp': 3724850932}
{'nome': 'Thuertes', 'classe': 'EK', 'level': 608, 'exp': 3724815885}
{'nome': 'Alvaro Here', 'classe': 'ED', 'level': 608, 'exp': 3722385872}
{'nome': 'Joker Druiid', 'classe': 'ED', 'level': 608, 'exp': 3722083818}
{'nome': 'Bruno Tenente', 'classe': 'RP', 'level': 608, 'exp': 3718926742}
{'nome': 'Pichimawiru', 'classe': 'RP', 'level': 608, 'exp': 3717796946}
{'nome': 'Geezy', 'classe': 'ED', 'level': 608, 'exp': 3717494095}
{'nome': 'Murderking', 'classe': 'RP', 'level': 608, 'exp': 3717289472}
{'nome': 'Quwepe', 'classe': 'ED', 'level': 608, 'exp': 3716716414}
{'nome': 'Tropecard', 'classe': 'RP', 'level': 608, 'exp': 3716374924}
{'nome': 'Ishida Uryuu', 'classe': 'RP', 'level': 608, 'exp': 3714391533}
{'nome': 'Bznnn', 'classe': 'MS', 'level': 608, 'exp': 3714274046}
{'nome': 'Black Blocadora', 'classe': 'EK', 'level': 608, 'exp': 3711880892}
{'nome': 'Micoli', 'classe': 'ED', 'level': 608, 'exp': 3711718262}
{'nome': 'Putero Of Akt', 'classe': 'RP', 'level': 608, 'exp': 3711398645}
{'nome': 'Kuwaarq Borestt', 'classe': 'ED', 'level': 608, 'exp': 3711043368}
{'nome': 'Zerosk', 'classe': 'EK', 'level': 608, 'exp': 3710444971}
{'nome': 'Riktor', 'classe': 'RP', 'level': 608, 'exp': 3709530095}
{'nome': 'Math Mago', 'classe': 'ED', 'level': 607, 'exp': 3708794694}
{'nome': 'Bravo Zulu', 'classe': 'EK', 'level': 607, 'exp': 3708550545}
{'nome': 'Vi Que Tor', 'classe': 'ED', 'level': 607, 'exp': 3707272078}
{'nome': 'Emperor Buttowski', 'classe': 'RP', 'level': 607, 'exp': 3706844028}
{'nome': 'Stone Skin', 'classe': 'ED', 'level': 607, 'exp': 3705077324}
{'nome': 'Fennyx', 'classe': 'ED', 'level': 607, 'exp': 3705053935}
{'nome': 'Thorin Oakenshield', 'classe': 'EK', 'level': 607, 'exp': 3704553087}
{'nome': 'Tenente Banker', 'classe': 'EK', 'level': 607, 'exp': 3703581398}
{'nome': 'Mysterious', 'classe': 'ED', 'level': 607, 'exp': 3701507522}
{'nome': 'Soul Lost', 'classe': 'MS', 'level': 607, 'exp': 3699911923}
{'nome': 'Delmal', 'classe': 'EK', 'level': 607, 'exp': 3698683522}
{'nome': 'Markz', 'classe': 'ED', 'level': 607, 'exp': 3698384618}
{'nome': 'Bagoul', 'classe': 'ED', 'level': 607, 'exp': 3697745088}
{'nome': 'Valone', 'classe': 'ED', 'level': 607, 'exp': 3697388675}
{'nome': 'Tixan', 'classe': 'ED', 'level': 607, 'exp': 3697324878}
{'nome': 'Rootts', 'classe': 'ED', 'level': 607, 'exp': 3696669128}
{'nome': 'Shooter Boy', 'classe': 'ED', 'level': 607, 'exp': 3696653790}
{'nome': 'Lucas Al', 'classe': 'ED', 'level': 607, 'exp': 3696385213}
{'nome': 'Verminose', 'classe': 'RP', 'level': 607, 'exp': 3695343866}
{'nome': 'Niibs Archer', 'classe': 'RP', 'level': 607, 'exp': 3695294022}
{'nome': 'Zyroo', 'classe': 'ED', 'level': 607, 'exp': 3695236444}
{'nome': 'Axe Charlove', 'classe': 'MS', 'level': 607, 'exp': 3694102098}
{'nome': 'Shadow Bolt', 'classe': 'RP', 'level': 607, 'exp': 3693993749}
{'nome': 'Machista opressor', 'classe': 'EK', 'level': 607, 'exp': 3691805356}
{'nome': 'Margarina', 'classe': 'ED', 'level': 607, 'exp': 3691190071}
{'nome': 'Champion Wolf', 'classe': 'ED', 'level': 607, 'exp': 3690983058}
{'nome': 'Luke Muiloko', 'classe': 'MS', 'level': 606, 'exp': 3690368935}
